dataset,model,num_params,converged,acc,batch_size,clip_norm,beta,gamma,sigma,eps_comp,eps_actual,delta,success_rate
cifar10,resnet50,23520842,False,0.09996979764421625,128,8.0,1e-05,9699.6581383057,3.1904652608754764,0.25,490873861.31532454,1e-10,1.0
cifar10,resnet50,23520842,True,0.936776401892681,128,4.0,0.0001,9699.6581383057,1.5952326304377382,0.25,4908745.410568405,1e-10,1.0
cifar10,resnet50,23520842,False,0.10520487264673312,128,4.0,0.0001,9699.6581383057,1.5952326304377382,0.25,4908745.410568405,1e-10,1.0
cifar10,resnet50,23520842,True,0.936776401892681,128,8.0,0.0001,9699.6581383057,3.1904652608754764,0.25,4908745.410568405,1e-10,1.0
cifar10,resnet50,23520842,False,0.09996979764421625,128,8.0,0.0001,9699.6581383057,3.1904652608754764,0.25,4908745.410568405,1e-10,1.0
cifar10,resnet50,23520842,True,0.936776401892681,128,4.0,0.001,9699.6581383057,1.5952326304377382,0.25,49091.97196160193,1e-10,0.98
cifar10,resnet50,23520842,False,0.1014799154334038,128,4.0,0.001,9699.6581383057,1.5952326304377382,0.25,49091.97196160193,1e-10,0.97
cifar10,resnet50,23520842,True,0.936776401892681,128,8.0,0.001,9699.6581383057,3.1904652608754764,0.25,49091.97196160193,1e-10,0.99
cifar10,resnet50,23520842,False,0.10027182120205376,128,8.0,0.001,9699.6581383057,3.1904652608754764,0.25,49091.97196160193,1e-10,0.97
cifar10,resnet50,23520842,True,0.936776401892681,128,4.0,1e-05,9699.6581383057,0.800050119415036,0.5,490873861.31532454,1e-10,1.0
cifar10,resnet50,23520842,False,0.09554011879593274,128,4.0,1e-05,9699.6581383057,0.800050119415036,0.5,490873861.31532454,1e-10,1.0
cifar10,resnet50,23520842,True,0.936776401892681,128,8.0,1e-05,9699.6581383057,1.600100238830072,0.5,490873861.31532454,1e-10,1.0
cifar10,resnet50,23520842,False,0.10017114668277459,128,8.0,1e-05,9699.6581383057,1.600100238830072,0.5,490873861.31532454,1e-10,1.0
cifar10,resnet50,23520842,True,0.936776401892681,128,4.0,0.0001,9699.6581383057,0.800050119415036,0.5,4908745.410568405,1e-10,1.0
cifar10,resnet50,23520842,False,0.09916440148998289,128,4.0,0.0001,9699.6581383057,0.800050119415036,0.5,4908745.410568405,1e-10,1.0
